anyfert_plus1_05;safi_lr04;sbsk1;sbsk1_demo;demo;house_ever_anyfert_05;school1;school2;school3;school4;school5;school6;school7;school8;school9;school10;school11;school12;school13;school14;school15;school16
0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
